"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state","full_add","lat","long"
"LE COLONIAL","20 COSMO PL","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",100,7117,"CA","20 COSMO PL, SAN FRANCISCO, CA, 94109",37.788185,-122.412419
"FRANCHINO","347 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","347 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7983493,-122.407649859483
"DA FLORA","701 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","701 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.801144,-122.411562
"GRAFFEO COFFEE ROASTING CO","735 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","735 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.8014143,-122.412062694807
"II POLLAIO","555 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA","555 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7999591,-122.4100117
"NEW MOON RESTAURANT","1247 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA","1247 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7973172,-122.40883701706
"TRATTORIA CONTADINA ITALIAN","1800 MASON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",20,1424,"CA","1800 MASON ST, SAN FRANCISCO, CA, 94133",37.800142,-122.412388
"MOLINARI DELICATESSEN","373 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",7,499,"CA","373 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.798455,-122.4078586
"SAM'S","618 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","618 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979165,-122.4075483
"NEW REGENT CAFE","638 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA","638 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.79715175,-122.406355895307
"YUET LEE","1300 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",13,926,"CA","1300 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7978123,-122.4083577
"DIM SUM BISTRO","675 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","675 BROADWAY, SAN FRANCISCO, CA, 94133",37.7975046,-122.408135178113
"SUSHI HUNTER","1701 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",5,356,"CA","1701 POWELL ST, SAN FRANCISCO, CA, 94133",37.800358,-122.4110142
"HAPPY CHINESE RESTAURANT","1326 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1326 POWELL ST, SAN FRANCISCO, CA, 94133",37.796909,-122.409910520428
"TONE COMMUNICATIONS CO ULTRA","1239 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1239 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7971831,-122.4086833
"VUNGTAU RESTAURANT","708 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA","708 VALLEJO ST, SAN FRANCISCO, CA, 94133",37.7986494,-122.4091341
"BLUE SKY RESTAURANT","1504 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1504 POWELL ST, SAN FRANCISCO, CA, 94133",37.7986495,-122.4103859
"BROADWAY CAFE","670 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","670 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979871,-122.408158998627
"NIZARIO'S PIZZA","279 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","279 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7976567,-122.406699229591
"COOKHOUSE","253 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","253 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7974945,-122.406449041438
"NEW ASIA RESTAURANT","772 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",45,3203,"CA","772 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.7969343,-122.408010697565
"NEW SUN HONG KONG RESTAURANT","606 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","606 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979669,-122.4072145
"YUMMY BBQ KITCHEN","683 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","683 BROADWAY, SAN FRANCISCO, CA, 94133",37.7975907960222,-122.40823759122
"SOUFFLES CAFE","1401 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1401 POWELL ST, SAN FRANCISCO, CA, 94133",37.7975461,-122.4104446
"CAPOS","641 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","641 VALLEJO ST, SAN FRANCISCO, CA, 94133",37.79843675,-122.408448591705
"PHO VUNG TAU","708 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","708 VALLEJO ST, SAN FRANCISCO, CA, 94133",37.7986494,-122.4091341
"YUMMY YUMMY","758 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","758 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.7968798,-122.4078459
"RATCHA THAI RESTAURANT","631 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","631 BROADWAY, SAN FRANCISCO, CA, 94133",37.7974917,-122.40748714675
"CHINA LIVE","644 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","644 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979135,-122.407877
"CAFE DU NORD","725 UNION ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","725 UNION ST, SAN FRANCISCO, CA, 94133",37.79999385,-122.411326622366
"STINKING ROSE-SAN FRANCISCO","325 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",50,3559,"CA","325 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.79812155,-122.407443750448
"FIRENZE BY NIGHT","1421 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",18,1281,"CA","1421 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7989822,-122.4090381
"MONA LISA RESTAURANT","353 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",11,783,"CA","353 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7983369,-122.407741555237
"LOUIE'S DIM SUM","1242 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","1242 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7973066,-122.408332824938
"BROADWAY DIM SUM CAFE","684 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","684 BROADWAY, SAN FRANCISCO, CA, 94133",37.7977503158153,-122.408295986322
"YEES RESTAURANT","1131 GRANT AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",11,783,"CA","1131 GRANT AVE, SAN FRANCISCO, CA, 94133",37.79727505,-122.407115764256
"PIAZZA PELLEGRINI","659 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","659 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.80086475,-122.411309638989
"NORTH BEACH GYROS","701 UNION ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","701 UNION ST, SAN FRANCISCO, CA, 94133",37.8001073,-122.4109558
"627 VALLEJO MARKET CAFE LLC","627 VALLEJO ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","627 VALLEJO ST, SAN FRANCISCO, CA, 94133",37.79848695,-122.408083354917
"PICCOLO FORNO","725 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","725 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.8013195,-122.4118679
"CAFFE SPUNTINO","543 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","543 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7997931428571,-122.409610571429
"BAKED BEAR","303 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA","303 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7981788163265,-122.407280244898
"KAN RAMEN","229 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","229 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7974134,-122.4062524
"T & T CAFE","601 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","601 BROADWAY, SAN FRANCISCO, CA, 94133",37.797722,-122.407154
"YIN DU WONTON NOODLE LLC","648 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","648 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.7970459,-122.406449
"PANUCHO'S","620 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","620 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979399,-122.4074504
"LITTLE SWAN BAKERY","1249 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1249 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7973422,-122.4087165
"MIKI RAMEN LLC","620 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","620 BROADWAY, SAN FRANCISCO, CA, 94133",37.7979399,-122.4074504
"BURGERMEISTER","759 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",5,356,"CA","759 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.8016284,-122.4123394033
"BRANDY HO'S HUNAN FOOD","217 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",15,1068,"CA","217 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7974134,-122.4062524
"CAFFE GRECO LLC","423 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","423 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.7989629,-122.4084952
"NEW HOLLYWOOD BAKERY & RSTRNT","652 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","652 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.7970471111111,-122.406361851852
"MICHELANGELO CAFFE","579 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",10,712,"CA","579 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.8001409,-122.4102087
"FRUIT CITY","1210 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA","1210 STOCKTON ST, SAN FRANCISCO, CA, 94133",37.7969319,-122.408281478727
"KAM PO KITCHEN","801 BROADWAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",9,641,"CA","801 BROADWAY, SAN FRANCISCO, CA, 94133",37.7972043,-122.4103701
"MA'S DIMSUM & CAFE","1315 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","1315 POWELL ST, SAN FRANCISCO, CA, 94133",37.7966589,-122.4102523
"PENA PACHAMAMA","1630 POWELL ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",2,143,"CA","1630 POWELL ST, SAN FRANCISCO, CA, 94133",37.79976275,-122.410539246962
"SUSHI ON NORTH BEACH-KATSU","745 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA","745 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.801363,-122.4119257
"TRATTORIA PINOCCHIO","401 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",45,3203,"CA","401 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",37.798716,-122.408055
"PHO HOA NOODLE SOUP","431 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",4,285,"CA","431 JONES ST, SAN FRANCISCO, CA, 94102",37.7853685,-122.413145398256
"LEFTY O'DOUL'S RSTRNT-COCKTAIL","333 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",30,2135,"CA","333 GEARY ST, SAN FRANCISCO, CA, 94102",37.7870884,-122.408712285885
"NEW DELHI RESTAURANT","160 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",12,854,"CA","160 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7854683,-122.409082
"DANIELS CAFE","154 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",1,72,"CA","154 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7856754,-122.40907364472
"RESTAURANT ANZU","222 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",27,1922,"CA","222 MASON ST, SAN FRANCISCO, CA, 94102",37.78581295,-122.409340834417
"BURGER HOUSE","237 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","237 POWELL ST, SAN FRANCISCO, CA, 94102",37.7867779795918,-122.408215163265
"REDWOOD ROOM","495 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","495 GEARY ST, SAN FRANCISCO, CA, 94102",37.78676795,-122.411144891299
"MILLION THAI RESTAURANT","385 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","385 TAYLOR ST, SAN FRANCISCO, CA, 94102",37.7856557,-122.4114124
"FISH & FARM RESTAURANT & BAR","339 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","339 TAYLOR ST, SAN FRANCISCO, CA, 94102",37.7854465102041,-122.411320122449
"CHICO'S PIZZA","468 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA","468 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7848698,-122.4138313
"UNION SQUARE ASSN","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","347 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872056,-122.408594
"TADU ETHIOPIAN KITCHEN","484 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","484 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7848095,-122.4141577
"PINE CREST DINER","401 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",14,997,"CA","401 GEARY ST, SAN FRANCISCO, CA, 94102",37.7870044,-122.4099933
"CAFE MASON","320 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA","320 MASON ST, SAN FRANCISCO, CA, 94102",37.7866072,-122.409593
"PIZZA PRADA INC","239 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",30,2135,"CA","239 POWELL ST, SAN FRANCISCO, CA, 94102",37.7867923673469,-122.408218061224
"DAILY GRILL-SAN FRANCISCO","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",75,5338,"CA","347 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872056,-122.408594
"VELVET ROOM","495 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",25,1780,"CA","495 GEARY ST, SAN FRANCISCO, CA, 94102",37.78676795,-122.411144891299
"SEGAFREDO ZANETTI","235 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA","235 POWELL ST, SAN FRANCISCO, CA, 94102",37.7867635918367,-122.408212265306
"GRILL CONCEPTS","347 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","347 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872056,-122.408594
"PONZU","222 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","222 MASON ST, SAN FRANCISCO, CA, 94102",37.78581295,-122.409340834417
"JGX INC","333 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","333 GEARY ST, SAN FRANCISCO, CA, 94102",37.7870884,-122.408712285885
"MIYABI FUSION JAPANESE CUISINE","115 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","115 CYRIL MAGNIN ST, SAN FRANCISCO, CA, 94102",37.7857169,-122.4089486
"MIYABIYA SUSHI & GRILL","115 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","115 CYRIL MAGNIN ST, SAN FRANCISCO, CA, 94102",37.7857169,-122.4089486
"CHAT CORNER","138 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","138 CYRIL MAGNIN ST, SAN FRANCISCO, CA, 94102",37.7856882,-122.4086687
"KING KEE CHINESE RESTAURANT","101 CYRIL MAGNIN ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","101 CYRIL MAGNIN ST, SAN FRANCISCO, CA, 94102",37.785482,-122.408812
"VILLA FLORENCE SN FRANCISCO ON","225 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","225 POWELL ST, SAN FRANCISCO, CA, 94102",37.7866615,-122.408448804518
"LORI'S DINER","336 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",21,1495,"CA","336 MASON ST, SAN FRANCISCO, CA, 94102",37.786415877551,-122.409620795918
"TAYLOR STREET COFFEE SHOP","375 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","375 TAYLOR ST, SAN FRANCISCO, CA, 94102",37.7856872,-122.4114223
"WINDSOR TEA ROOM","334 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",4,285,"CA","334 MASON ST, SAN FRANCISCO, CA, 94102",37.7867564,-122.409444578374
"COMIDA YUCATAN CITY PIZZA","294 TURK ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA","294 TURK ST, SAN FRANCISCO, CA, 94102",37.782902891669,-122.413854905025
"KIM HOANG COFFEE & FAST FOOD","246 LEAVENWORTH ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","246 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",37.783251,-122.414041244898
"KYU3 NOODLE & BBQ","337 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","337 JONES ST, SAN FRANCISCO, CA, 94102",37.78441425,-122.412983892534
"YEMEN KITCHEN","219 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","219 JONES ST, SAN FRANCISCO, CA, 94102",37.7833244,-122.4126199
"ALFARO RESTAURANT","393 EDDY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","393 EDDY ST, SAN FRANCISCO, CA, 94102",37.7836713870968,-122.413997774194
"KRISPY KRUNCHY CHICKEN","393 EDDY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,427,"CA","393 EDDY ST, SAN FRANCISCO, CA, 94102",37.7836713870968,-122.413997774194
"BISCUITS & BLUES","401 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",20,1424,"CA","401 MASON ST, SAN FRANCISCO, CA, 94102",37.7873325,-122.4100567
"SAKANA","605 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",7,499,"CA","605 POST ST, SAN FRANCISCO, CA, 94109",37.787765625,-122.41187825
"CHUTNEY","511 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","511 JONES ST, SAN FRANCISCO, CA, 94102",37.7860173,-122.413288261664
"COLIBRI MEXICAN BISTRO","438 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",50,3559,"CA","438 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872027,-122.4105458
"HONEY HONEY CAF & CREPERY","599 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","599 POST ST, SAN FRANCISCO, CA, 94102",37.7877946,-122.4115509
"COCOBANG","550 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","550 TAYLOR ST, SAN FRANCISCO, CA, 94102",37.7876288,-122.4115227
"WINGS PLUS","533 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",3,214,"CA","533 JONES ST, SAN FRANCISCO, CA, 94102",37.7862836,-122.413301331867
"BELLA LUCCA","418 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","418 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872139,-122.4102797
"STANLEY'S STEAMERS HOT DOGS","320 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","320 GEARY ST, SAN FRANCISCO, CA, 94102",37.7873861020408,-122.408670469388
"CLOCK BAR","335 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",70,4982,"CA","335 POWELL ST, SAN FRANCISCO, CA, 94102",37.78774955,-122.408975902344
"BAR 587","587 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","587 POST ST, SAN FRANCISCO, CA, 94102",37.7878201,-122.4113142
"LA SCENE CAFE & BAR","490 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",23,1637,"CA","490 GEARY ST, SAN FRANCISCO, CA, 94102",37.78715245,-122.411368200838
"OAK ROOM-THE WESTIN ST FRANCIS","335 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",19,1353,"CA","335 POWELL ST, SAN FRANCISCO, CA, 94102",37.78774955,-122.408975902344
"ZINGARI RISTORANTE","501 POST ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",18,1281,"CA","501 POST ST, SAN FRANCISCO, CA, 94102",37.7878486,-122.410389769135
"CHABAA THAI CUISINE","420 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","420 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872157,-122.4103202
"KATANA-YA RESTAURANT & LOUNGE","430 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","430 GEARY ST, SAN FRANCISCO, CA, 94102",37.78721,-122.4103959
"TAQUERIA EL SOL","595 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","595 GEARY ST, SAN FRANCISCO, CA, 94102",37.7866661,-122.4129649
"MILAN PIZZA","606 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA","606 GEARY ST, SAN FRANCISCO, CA, 94102",37.7868214,-122.4134749
"LITTLE SHEEP MONGOLIAN HOT POT","405 MASON ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","405 MASON ST, SAN FRANCISCO, CA, 94102",37.7873602,-122.4100616
"SCARLETT RESTAURANT","386 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","386 GEARY ST, SAN FRANCISCO, CA, 94102",37.7873695,-122.409651544369
"MORTIMER","550 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","550 GEARY ST, SAN FRANCISCO, CA, 94102",37.78711605,-122.412536140721
"MENSHO TOKYO","672 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","672 GEARY ST, SAN FRANCISCO, CA, 94102",37.7866999,-122.4143153
"TSE LOGS","552 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","552 JONES ST, SAN FRANCISCO, CA, 94102",37.7864942,-122.4130127
"PHARAOHS MEDITERRANEAN SNDWCHS","608 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","608 GEARY ST, SAN FRANCISCO, CA, 94102",37.7868113,-122.4135614
"AVELINE RESTAURANT","490 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","490 GEARY ST, SAN FRANCISCO, CA, 94102",37.78715245,-122.411368200838
"398 BRASSERIE","398 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","398 GEARY ST, SAN FRANCISCO, CA, 94102",37.7873031,-122.4097098
"SIAM ORCHID LLC","518 TAYLOR ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","518 TAYLOR ST, SAN FRANCISCO, CA, 94102",37.7873662,-122.411359511492
"BANDIT","683 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",10,712,"CA","683 GEARY ST, SAN FRANCISCO, CA, 94102",37.7864542,-122.414537
"DOTTIES TRUE BLUE CAFE","522 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","522 JONES ST, SAN FRANCISCO, CA, 94102",37.7861715,-122.4129236
"PERFECT HAMBURGER","601 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA","601 GEARY ST, SAN FRANCISCO, CA, 94102",37.7865443,-122.41336730427
"JACK IN THE BOX","400 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",32,2278,"CA","400 GEARY ST, SAN FRANCISCO, CA, 94102",37.7872502,-122.410056
"OLYMPIC FLAME CAFE","555 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","555 GEARY ST, SAN FRANCISCO, CA, 94102",37.7867295,-122.4124048
"KIM THANH","607 GEARY ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","607 GEARY ST, SAN FRANCISCO, CA, 94102",37.7866045,-122.4134239
"SHALIMAR","532 JONES ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",5,356,"CA","532 JONES ST, SAN FRANCISCO, CA, 94102",37.7862553,-122.4129259
"BURGER KING","35 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",35,2447,"CA","35 POWELL ST, SAN FRANCISCO, CA, 94102",37.7850402,-122.408121295081
